OrderID,CustomerID,StoreID,OrderDate,TotalAmount,OrderStatus,PaymentMethod
88,771,4,2026-03-01 16:55:01,619.94,Completed,Mobile Payment
89,798,1,2026-03-01 16:57:03,439.95,Completed,Contactless Card
90,803,8,2026-03-01 16:55:48,85.6,Completed,Chip & PIN
91,782,16,2026-03-01 16:56:29,1.0,Completed,Chip & PIN
92,41,2,2026-03-01 16:55:22,764.87,Completed,Mobile Payment
93,81,17,2026-03-01 16:56:34,34.65,Completed,Mobile Payment
94,716,14,2026-03-01 16:56:36,8.99,Processing,Contactless Card
95,465,20,2026-03-01 16:57:16,53.06,Completed,Mobile Payment
96,171,12,2026-03-01 16:55:20,1657.0,Completed,Mobile Payment
97,537,3,2026-03-01 16:54:57,454.91,Completed,Contactless Card
98,916,19,2026-03-01 16:55:57,23.99,Completed,Chip & PIN
99,184,2,2026-03-01 16:56:56,229.95,Completed,Contactless Card
100,586,12,2026-03-01 16:56:34,8.99,Completed,Contactless Card
101,977,13,2026-03-01 16:56:00,83.42,Completed,Cash
102,792,7,2026-03-01 16:56:22,26.7,Completed,Contactless Card
103,974,11,2026-03-01 16:57:27,34.81,Processing,Cash
104,718,12,2026-03-01 16:55:08,34.45,Completed,Contactless Card
105,446,5,2026-03-01 16:57:00,41.75,Completed,Contactless Card
106,967,7,2026-03-01 16:57:27,2385.0,Completed,Cash
107,124,18,2026-03-01 16:57:18,109.96,Processing,Contactless Card
108,162,10,2026-03-01 16:55:04,51.46,Completed,Mobile Payment
109,267,6,2026-03-01 16:57:16,26.28,Completed,Cash
110,382,3,2026-03-01 16:56:19,29.99,Completed,Cash
111,829,5,2026-03-01 16:55:26,73.43,Completed,Chip & PIN
112,363,7,2026-03-01 16:54:53,1627.0,Completed,Chip & PIN
113,663,10,2026-03-01 16:56:37,76.58,Completed,Cash
114,801,12,2026-03-01 16:56:07,81.94,Cancelled,Contactless Card
115,254,8,2026-03-01 16:56:50,464.92,Completed,Mobile Payment
116,936,19,2026-03-01 16:55:20,32.7,Completed,Chip & PIN
117,21,17,2026-03-01 16:54:36,3.6,Completed,Chip & PIN
118,349,6,2026-03-01 16:55:01,149.99,Completed,Chip & PIN
119,793,4,2026-03-01 16:56:51,89.97,Processing,Cash
120,601,4,2026-03-01 16:54:49,939.92,Cancelled,Mobile Payment
121,179,18,2026-03-01 16:55:51,439.96,Completed,Mobile Payment
122,131,6,2026-03-01 16:56:50,53.36,Completed,Mobile Payment
123,172,3,2026-03-01 16:56:01,569.92,Completed,Contactless Card
124,50,13,2026-03-01 16:57:27,73.43,Completed,Contactless Card
125,302,1,2026-03-01 16:57:16,389.96,Completed,Contactless Card
126,347,20,2026-03-01 16:55:44,4.05,Completed,Cash
127,161,2,2026-03-01 16:57:11,26.22,Completed,Cash
128,158,2,2026-03-01 16:55:08,24.99,Completed,Cash
129,205,4,2026-03-01 16:55:25,23.36,Completed,Mobile Payment
130,94,18,2026-03-01 16:55:25,169.97,Completed,Mobile Payment
131,451,15,2026-03-01 16:55:11,169.96,Completed,Contactless Card
132,685,12,2026-03-01 16:55:43,519.91,Completed,Contactless Card
133,515,19,2026-03-01 16:54:50,379.0,Completed,Chip & PIN
134,996,7,2026-03-01 16:56:03,18.05,Cancelled,Chip & PIN
135,855,20,2026-03-01 16:56:02,449.92,Completed,Mobile Payment
136,533,15,2026-03-01 16:54:44,68.31,Processing,Mobile Payment
137,393,16,2026-03-01 16:56:47,17.98,Completed,Cash
138,40,13,2026-03-01 16:55:55,349.96,Completed,Mobile Payment
139,319,9,2026-03-01 16:57:07,36.95,Completed,Mobile Payment
140,276,14,2026-03-01 16:55:32,24.47,Completed,Chip & PIN
141,68,10,2026-03-01 16:56:44,174.98,Processing,Chip & PIN
142,858,2,2026-03-01 16:55:30,6.0,Processing,Chip & PIN
143,281,12,2026-03-01 16:56:56,91.65,Completed,Contactless Card
144,292,1,2026-03-01 16:56:17,149.97,Completed,Chip & PIN
145,878,8,2026-03-01 16:56:06,21.4,Processing,Chip & PIN
146,616,1,2026-03-01 16:54:33,31.1,Completed,Mobile Payment
147,694,17,2026-03-01 16:56:26,604.91,Completed,Mobile Payment
148,656,11,2026-03-01 16:55:20,309.95,Completed,Cash
149,677,11,2026-03-01 16:55:43,379.0,Cancelled,Mobile Payment
150,929,14,2026-03-01 16:55:41,919.89,Processing,Mobile Payment
151,520,10,2026-03-01 16:56:05,2385.0,Completed,Chip & PIN
152,970,11,2026-03-01 16:56:27,38.96,Completed,Contactless Card
153,482,2,2026-03-01 16:55:32,54.95,Completed,Chip & PIN
154,798,3,2026-03-01 16:56:06,71.98,Completed,Contactless Card
155,133,20,2026-03-01 16:55:12,304.94,Completed,Contactless Card
156,914,11,2026-03-01 16:54:58,3.6,Completed,Chip & PIN
157,711,12,2026-03-01 16:55:55,164.94,Completed,Contactless Card
158,844,2,2026-03-01 16:57:08,234.94,Cancelled,Cash
159,368,7,2026-03-01 16:56:53,2006.0,Completed,Contactless Card
160,604,17,2026-03-01 16:55:58,349.0,Completed,Contactless Card
161,385,9,2026-03-01 16:56:46,14.97,Completed,Contactless Card
162,707,4,2026-03-01 16:55:39,719.93,Completed,Contactless Card
163,309,14,2026-03-01 16:57:13,63.7,Completed,Contactless Card
164,510,7,2026-03-01 16:54:48,20.0,Completed,Cash
165,339,8,2026-03-01 16:57:07,8.99,Completed,Cash
166,153,3,2026-03-01 16:56:31,16.96,Completed,Contactless Card
167,103,6,2026-03-01 16:55:35,34.04,Processing,Chip & PIN
168,337,12,2026-03-01 16:57:03,32.07,Completed,Cash
169,820,14,2026-03-01 16:54:56,449.0,Completed,Contactless Card
170,966,6,2026-03-01 16:56:15,70.67,Completed,Cash
171,452,2,2026-03-01 16:54:43,89.91,Completed,Chip & PIN
172,494,12,2026-03-01 16:56:20,474.96,Processing,Cash
173,873,16,2026-03-01 16:54:27,379.0,Completed,Mobile Payment
174,994,9,2026-03-01 16:55:53,35.66,Completed,Cash
175,458,11,2026-03-01 16:54:30,92.14,Completed,Mobile Payment
176,373,2,2026-03-01 16:55:08,44.28,Cancelled,Mobile Payment
177,561,17,2026-03-01 16:55:09,149.99,Completed,Cash
178,110,9,2026-03-01 16:54:46,35.0,Completed,Cash
179,48,19,2026-03-01 16:56:38,84.91,Completed,Chip & PIN
180,107,13,2026-03-01 16:57:17,649.91,Completed,Mobile Payment
181,864,18,2026-03-01 16:54:51,1174.89,Completed,Mobile Payment
182,728,4,2026-03-01 16:56:10,614.92,Completed,Contactless Card
183,205,9,2026-03-01 16:56:51,1697.0,Completed,Mobile Payment
184,209,18,2026-03-01 16:56:48,49.97,Completed,Mobile Payment
185,710,2,2026-03-01 16:54:45,409.93,Completed,Cash
186,850,8,2026-03-01 16:57:12,504.92,Cancelled,Contactless Card
187,387,2,2026-03-01 16:55:40,444.94,Completed,Cash
188,727,5,2026-03-01 16:54:52,55.47,Completed,Mobile Payment
189,75,11,2026-03-01 16:55:25,20.0,Completed,Contactless Card
190,358,8,2026-03-01 16:55:43,39.6,Completed,Chip & PIN
191,927,20,2026-03-01 16:55:37,5.6,Processing,Contactless Card
192,396,9,2026-03-01 16:57:17,239.98,Completed,Cash
193,499,2,2026-03-01 16:56:29,109.98,Cancelled,Contactless Card
194,642,3,2026-03-01 16:56:05,15.8,Completed,Contactless Card
195,765,5,2026-03-01 16:57:25,91.17,Completed,Mobile Payment
196,18,13,2026-03-01 16:54:41,1.0,Completed,Contactless Card
197,718,3,2026-03-01 16:57:27,869.89,Completed,Chip & PIN
198,547,8,2026-03-01 16:56:58,1936.0,Completed,Mobile Payment
199,981,1,2026-03-01 16:55:32,899.0,Completed,Cash
200,551,18,2026-03-01 16:56:50,25.72,Completed,Mobile Payment
201,199,4,2026-03-01 16:55:19,2385.0,Completed,Mobile Payment
202,101,7,2026-03-01 16:57:24,69.43,Completed,Mobile Payment
203,711,19,2026-03-01 16:56:31,2385.0,Completed,Chip & PIN
204,805,8,2026-03-01 16:56:22,269.93,Completed,Mobile Payment
205,794,10,2026-03-01 16:55:40,23.47,Processing,Chip & PIN
206,270,3,2026-03-01 16:54:33,18.0,Completed,Cash
207,788,19,2026-03-01 16:54:59,13.5,Processing,Cash
208,670,5,2026-03-01 16:56:58,879.91,Completed,Contactless Card
209,679,8,2026-03-01 16:54:59,2385.0,Completed,Cash
210,962,12,2026-03-01 16:56:44,26.55,Completed,Mobile Payment
211,398,16,2026-03-01 16:56:10,38.97,Completed,Mobile Payment
212,855,9,2026-03-01 16:55:40,1936.0,Completed,Cash
213,997,8,2026-03-01 16:57:17,359.93,Processing,Cash
214,170,8,2026-03-01 16:57:10,66.16,Completed,Mobile Payment
215,738,4,2026-03-01 16:55:28,87.19,Processing,Chip & PIN
216,58,6,2026-03-01 16:55:18,434.94,Completed,Mobile Payment
217,970,3,2026-03-01 16:54:34,65.72,Completed,Cash
218,611,19,2026-03-01 16:55:05,68.94,Completed,Chip & PIN
219,621,4,2026-03-01 16:56:15,1936.0,Completed,Chip & PIN
220,924,20,2026-03-01 16:57:09,67.28,Completed,Cash
221,138,9,2026-03-01 16:55:56,21.81,Completed,Contactless Card
222,592,17,2026-03-01 16:54:34,6.0,Completed,Mobile Payment
223,419,12,2026-03-01 16:56:54,30.98,Completed,Mobile Payment
224,697,13,2026-03-01 16:57:12,62.47,Processing,Contactless Card
225,766,8,2026-03-01 16:56:56,31.43,Completed,Contactless Card
226,165,13,2026-03-01 16:56:05,15.47,Completed,Mobile Payment
227,228,12,2026-03-01 16:55:14,4.0,Completed,Mobile Payment
228,729,20,2026-03-01 16:54:56,49.27,Completed,Contactless Card
229,803,20,2026-03-01 16:56:49,8.8,Completed,Mobile Payment
230,799,13,2026-03-01 16:55:15,854.92,Completed,Mobile Payment
231,356,9,2026-03-01 16:56:13,19.0,Completed,Contactless Card
232,516,10,2026-03-01 16:56:03,39.98,Processing,Mobile Payment
233,711,15,2026-03-01 16:56:22,709.91,Completed,Chip & PIN
234,694,8,2026-03-01 16:56:24,749.94,Completed,Mobile Payment
235,78,18,2026-03-01 16:54:58,2006.0,Completed,Chip & PIN
236,511,7,2026-03-01 16:57:00,23.5,Completed,Contactless Card
237,943,3,2026-03-01 16:56:03,1.75,Completed,Mobile Payment
238,636,11,2026-03-01 16:56:13,23.28,Completed,Cash
239,490,18,2026-03-01 16:56:12,62.57,Completed,Chip & PIN
240,389,19,2026-03-01 16:56:18,58.94,Completed,Chip & PIN
241,430,12,2026-03-01 16:54:46,334.92,Completed,Chip & PIN
242,569,14,2026-03-01 16:54:27,124.97,Completed,Cash
243,138,17,2026-03-01 16:55:02,304.93,Completed,Mobile Payment
244,488,4,2026-03-01 16:55:47,36.96,Cancelled,Chip & PIN
245,591,19,2026-03-01 16:56:07,1037.0,Completed,Cash
246,911,3,2026-03-01 16:55:28,949.87,Completed,Contactless Card
247,82,6,2026-03-01 16:55:38,129.95,Completed,Cash
248,278,15,2026-03-01 16:55:11,884.91,Completed,Contactless Card
249,216,6,2026-03-01 16:54:35,149.99,Processing,Cash
250,562,2,2026-03-01 16:55:01,48.61,Completed,Chip & PIN
251,30,2,2026-03-01 16:54:59,169.93,Completed,Chip & PIN
252,606,20,2026-03-01 16:55:01,74.91,Completed,Chip & PIN
253,353,10,2026-03-01 16:57:21,5.0,Completed,Cash
254,818,10,2026-03-01 16:57:25,2.0,Completed,Cash
255,405,8,2026-03-01 16:55:23,2036.0,Completed,Chip & PIN
256,530,20,2026-03-01 16:55:35,239.97,Completed,Contactless Card
257,653,15,2026-03-01 16:57:04,44.94,Completed,Chip & PIN
258,733,15,2026-03-01 16:56:57,45.57,Completed,Cash
259,381,15,2026-03-01 16:56:46,71.53,Processing,Mobile Payment
260,837,13,2026-03-01 16:54:37,6.35,Completed,Contactless Card
261,204,15,2026-03-01 16:54:45,27.21,Completed,Contactless Card
262,260,16,2026-03-01 16:55:20,269.96,Cancelled,Chip & PIN
263,649,14,2026-03-01 16:56:19,399.98,Completed,Cash
264,809,8,2026-03-01 16:56:15,8.4,Completed,Mobile Payment
265,790,3,2026-03-01 16:56:48,14.1,Completed,Mobile Payment
266,661,5,2026-03-01 16:55:23,24.22,Completed,Cash
267,751,7,2026-03-01 16:56:14,100.02,Completed,Mobile Payment
268,332,15,2026-03-01 16:56:31,619.89,Completed,Cash
269,752,6,2026-03-01 16:55:58,53.42,Completed,Mobile Payment
270,331,14,2026-03-01 16:57:05,449.97,Completed,Contactless Card
271,856,5,2026-03-01 16:54:31,449.0,Completed,Chip & PIN
272,102,2,2026-03-01 16:54:51,644.92,Completed,Chip & PIN
273,672,16,2026-03-01 16:56:28,57.47,Completed,Chip & PIN
274,545,13,2026-03-01 16:56:22,47.12,Completed,Mobile Payment
275,691,15,2026-03-01 16:57:04,49.99,Completed,Mobile Payment
276,674,6,2026-03-01 16:54:45,45.58,Completed,Mobile Payment
277,369,15,2026-03-01 16:55:50,54.43,Completed,Chip & PIN
278,97,2,2026-03-01 16:55:05,40.29,Completed,Chip & PIN
279,752,3,2026-03-01 16:57:09,884.91,Completed,Cash
280,81,2,2026-03-01 16:55:44,534.93,Completed,Contactless Card
281,650,13,2026-03-01 16:55:37,31.32,Completed,Cash
282,995,15,2026-03-01 16:56:10,20.96,Completed,Contactless Card
283,562,13,2026-03-01 16:54:57,74.97,Completed,Chip & PIN
284,781,5,2026-03-01 16:55:37,20.62,Completed,Chip & PIN
285,74,9,2026-03-01 16:55:42,554.93,Completed,Chip & PIN
286,329,12,2026-03-01 16:54:33,22.89,Completed,Mobile Payment
287,160,3,2026-03-01 16:57:04,14.97,Processing,Mobile Payment
288,15,11,2026-03-01 16:55:09,46.7,Completed,Mobile Payment
289,562,16,2026-03-01 16:55:21,379.0,Completed,Contactless Card
290,262,6,2026-03-01 16:55:29,44.82,Completed,Mobile Payment
291,679,12,2026-03-01 16:55:56,10.47,Completed,Cash
292,521,4,2026-03-01 16:54:43,524.89,Completed,Chip & PIN
293,945,17,2026-03-01 16:56:24,304.96,Completed,Mobile Payment
294,641,10,2026-03-01 16:55:44,21.05,Processing,Chip & PIN
295,90,13,2026-03-01 16:56:08,56.23,Completed,Chip & PIN
296,884,5,2026-03-01 16:55:59,564.89,Completed,Chip & PIN
297,745,1,2026-03-01 16:56:18,274.96,Completed,Mobile Payment
298,621,19,2026-03-01 16:55:45,22.79,Completed,Cash
299,730,12,2026-03-01 16:55:02,1936.0,Completed,Contactless Card
300,419,1,2026-03-01 16:56:03,529.92,Completed,Cash
301,909,8,2026-03-01 16:54:40,839.89,Completed,Contactless Card
302,534,4,2026-03-01 16:54:55,96.24,Completed,Mobile Payment
303,473,6,2026-03-01 16:56:47,304.94,Completed,Cash
304,93,17,2026-03-01 16:56:05,31.98,Completed,Chip & PIN
305,465,19,2026-03-01 16:55:30,39.4,Completed,Chip & PIN
306,388,18,2026-03-01 16:56:32,99.98,Completed,Chip & PIN
307,167,5,2026-03-01 16:54:59,379.0,Completed,Cash
308,296,6,2026-03-01 16:56:04,37.95,Processing,Contactless Card
309,623,16,2026-03-01 16:55:22,53.47,Completed,Mobile Payment
310,635,18,2026-03-01 16:54:44,3.0,Completed,Mobile Payment
311,38,5,2026-03-01 16:56:52,61.71,Completed,Chip & PIN
312,990,15,2026-03-01 16:56:56,299.98,Completed,Cash
313,840,3,2026-03-01 16:55:58,884.88,Completed,Chip & PIN
314,627,2,2026-03-01 16:57:11,13.97,Completed,Mobile Payment
315,539,19,2026-03-01 16:56:04,134.94,Completed,Cash
316,828,6,2026-03-01 16:57:03,57.72,Cancelled,Cash
317,47,11,2026-03-01 16:57:09,719.9,Completed,Contactless Card
318,117,11,2026-03-01 16:55:52,474.91,Processing,Contactless Card
319,662,5,2026-03-01 16:55:58,13.59,Completed,Mobile Payment
320,579,11,2026-03-01 16:56:56,17.69,Completed,Cash
321,642,18,2026-03-01 16:55:07,2385.0,Completed,Mobile Payment
322,727,2,2026-03-01 16:57:10,349.92,Completed,Contactless Card
323,384,2,2026-03-01 16:55:13,15.0,Processing,Chip & PIN
324,195,11,2026-03-01 16:56:31,56.4,Completed,Contactless Card
325,5,10,2026-03-01 16:57:22,5.5,Completed,Mobile Payment
326,24,19,2026-03-01 16:56:19,159.97,Completed,Mobile Payment
327,792,15,2026-03-01 16:56:03,55.43,Completed,Mobile Payment
328,278,5,2026-03-01 16:55:34,494.92,Completed,Contactless Card
329,109,13,2026-03-01 16:54:50,8.55,Completed,Cash
330,632,12,2026-03-01 16:55:43,269.95,Completed,Cash
331,100,15,2026-03-01 16:57:02,374.91,Completed,Mobile Payment
332,808,11,2026-03-01 16:54:38,75.12,Completed,Contactless Card
333,334,18,2026-03-01 16:54:33,28.71,Cancelled,Cash
334,68,11,2026-03-01 16:55:22,46.75,Completed,Cash
335,334,18,2026-03-01 16:56:47,76.65,Processing,Contactless Card
336,776,5,2026-03-01 16:55:49,1486.0,Completed,Mobile Payment
337,307,19,2026-03-01 16:54:27,594.91,Processing,Contactless Card
338,379,18,2026-03-01 16:55:12,6.5,Processing,Contactless Card
339,241,14,2026-03-01 16:55:52,304.94,Completed,Cash
340,143,7,2026-03-01 16:55:54,344.95,Completed,Contactless Card
341,148,16,2026-03-01 16:54:43,549.95,Processing,Cash
342,639,6,2026-03-01 16:55:20,64.71,Completed,Cash
343,949,18,2026-03-01 16:55:36,449.97,Completed,Mobile Payment
344,116,19,2026-03-01 16:55:40,28.45,Completed,Contactless Card
345,252,16,2026-03-01 16:57:21,58.96,Completed,Cash
346,362,10,2026-03-01 16:55:32,329.94,Completed,Cash
347,593,6,2026-03-01 16:56:47,67.43,Completed,Mobile Payment
348,879,9,2026-03-01 16:56:09,10.35,Completed,Cash
349,379,6,2026-03-01 16:56:30,114.96,Completed,Contactless Card
350,991,5,2026-03-01 16:55:03,2036.0,Completed,Chip & PIN
351,216,19,2026-03-01 16:55:13,29.99,Completed,Cash
352,409,16,2026-03-01 16:56:43,584.92,Processing,Contactless Card
353,296,15,2026-03-01 16:56:44,704.92,Cancelled,Cash
354,626,9,2026-03-01 16:55:25,939.92,Completed,Chip & PIN
355,752,19,2026-03-01 16:56:53,24.6,Completed,Mobile Payment
356,225,10,2026-03-01 16:54:27,209.96,Completed,Chip & PIN
357,974,20,2026-03-01 16:55:43,37.95,Completed,Chip & PIN
358,918,4,2026-03-01 16:56:27,1037.0,Processing,Cash
359,945,9,2026-03-01 16:55:28,429.95,Completed,Contactless Card
360,265,9,2026-03-01 16:55:26,2036.0,Completed,Cash
361,112,5,2026-03-01 16:54:43,499.95,Completed,Contactless Card
362,75,3,2026-03-01 16:55:31,504.92,Completed,Mobile Payment
363,927,13,2026-03-01 16:55:59,78.33,Completed,Cash
364,57,3,2026-03-01 16:55:37,794.9,Completed,Cash
365,918,4,2026-03-01 16:56:03,224.96,Completed,Chip & PIN
366,501,13,2026-03-01 16:57:25,52.47,Completed,Chip & PIN
367,827,17,2026-03-01 16:54:48,46.44,Completed,Cash
368,929,20,2026-03-01 16:56:02,44.46,Completed,Contactless Card
369,838,4,2026-03-01 16:57:22,79.67,Completed,Chip & PIN
370,783,2,2026-03-01 16:56:30,1657.0,Completed,Cash
371,173,12,2026-03-01 16:55:41,2076.0,Completed,Cash
372,797,6,2026-03-01 16:56:55,91.31,Completed,Cash
373,422,8,2026-03-01 16:55:17,2385.0,Completed,Mobile Payment
374,357,14,2026-03-01 16:55:05,27.03,Completed,Chip & PIN
375,284,2,2026-03-01 16:55:58,10.6,Completed,Contactless Card
376,56,12,2026-03-01 16:54:50,289.95,Completed,Cash
377,45,4,2026-03-01 16:54:56,42.36,Completed,Chip & PIN
378,739,15,2026-03-01 16:55:33,604.95,Completed,Chip & PIN
379,385,8,2026-03-01 16:57:25,64.94,Cancelled,Chip & PIN
380,344,5,2026-03-01 16:56:57,1.75,Completed,Cash
381,470,14,2026-03-01 16:56:24,1177.0,Completed,Chip & PIN
382,592,18,2026-03-01 16:56:41,7.25,Processing,Chip & PIN
383,606,16,2026-03-01 16:56:39,45.27,Processing,Contactless Card
384,428,2,2026-03-01 16:56:26,45.74,Completed,Mobile Payment
385,245,3,2026-03-01 16:56:57,107.24,Completed,Contactless Card
386,882,3,2026-03-01 16:55:48,499.93,Processing,Chip & PIN
387,807,3,2026-03-01 16:55:21,59.97,Completed,Contactless Card
388,114,13,2026-03-01 16:54:43,1159.9,Completed,Chip & PIN
389,142,11,2026-03-01 16:55:01,9.0,Completed,Chip & PIN
390,329,12,2026-03-01 16:57:23,749.88,Completed,Cash
391,727,18,2026-03-01 16:54:29,334.95,Completed,Chip & PIN
392,296,3,2026-03-01 16:55:41,21.46,Completed,Contactless Card
393,301,14,2026-03-01 16:54:30,2076.0,Completed,Contactless Card
394,23,8,2026-03-01 16:56:56,804.89,Completed,Cash
395,469,10,2026-03-01 16:55:49,1697.0,Completed,Mobile Payment
396,789,2,2026-03-01 16:55:40,1627.0,Completed,Chip & PIN
397,729,18,2026-03-01 16:55:29,159.98,Completed,Mobile Payment
398,589,5,2026-03-01 16:56:19,62.03,Completed,Chip & PIN
399,547,10,2026-03-01 16:56:33,4.0,Completed,Cash
400,951,11,2026-03-01 16:57:13,309.0,Cancelled,Mobile Payment
401,663,10,2026-03-01 16:56:18,73.89,Completed,Mobile Payment
402,26,13,2026-03-01 16:56:15,36.55,Completed,Contactless Card
403,1000,17,2026-03-01 16:54:51,389.94,Completed,Contactless Card
404,931,12,2026-03-01 16:56:38,259.96,Completed,Mobile Payment
405,360,10,2026-03-01 16:55:16,19.97,Completed,Mobile Payment
406,168,14,2026-03-01 16:54:40,174.98,Completed,Mobile Payment
407,68,19,2026-03-01 16:57:25,299.98,Completed,Mobile Payment
408,425,6,2026-03-01 16:56:42,32.01,Completed,Mobile Payment
409,855,19,2026-03-01 16:56:02,364.94,Cancelled,Cash
